                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.83092,                0.68037,                 1.0086,                0.92302,                0.81381,                0.89246,                0.74635,                0.70578,                0.51579,                 0.9169,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     90,                 0.8736,                0.70638,                  1.029,                0.92358,                0.81481,                0.89335,                0.74846,                0.70511,                0.51369,                0.91645,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     91,                0.89424,                0.76591,                 1.0389,                0.91167,                0.81628,                0.89385,                0.74066,                0.70877,                0.52181,                0.91673,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     92,                0.88135,                0.77679,                0.99851,                0.89458,                0.81698,                0.88623,                0.73655,                0.71625,                0.53211,                0.91839,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     93,                0.86769,                0.75667,                 1.0175,                 0.9011,                0.79478,                0.87691,                 0.7351,                0.72398,                0.54081,                0.92034,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     94,                0.84916,                0.71553,                  1.017,                 0.9074,                0.79289,                0.87912,                0.73313,                0.73099,                0.54366,                0.92279,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     95,                0.85868,                 0.7418,                 1.0073,                 0.9074,                0.79308,                0.87899,                0.73152,                0.73626,                0.54696,                0.92492,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     96,                 0.8256,                0.67921,                 1.0059,                0.90709,                0.79121,                0.87717,                0.72942,                0.73755,                0.54771,                0.92544,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     97,                0.80783,                0.65947,                0.99721,                0.90125,                0.79274,                0.87834,                0.73246,                0.73892,                0.54823,                0.92604,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     98,                0.84107,                0.70437,                  1.007,                0.89858,                0.79303,                0.87689,                0.73148,                0.74147,                0.54951,                0.92658,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     99,                0.84961,                0.67773,                 1.0197,                0.88698,                0.79418,                0.87434,                0.72858,                0.74317,                0.54981,                0.92687,             4.7243e-06,             4.7243e-06,             4.7243e-06
                    100,                0.84019,                0.73898,                 1.0204,                0.88277,                0.79978,                0.87365,                0.72699,                0.74653,                0.55251,                0.92829,             3.5462e-06,             3.5462e-06,             3.5462e-06
